Country,General,Current,Emerging,Underground
Singapore,spotify:playlist:6LFMbVljemjBghsB2N0sCV,spotify:playlist:5y8dmomp7ODfYS507RUlJu,spotify:playlist:18nIZVgv9ndwCaqPONXEzC,spotify:playlist:3mYmdcHgyjAx8zuLCRUP4A
Slovakia,spotify:playlist:3blEpTamnaefv7OCB2jyLr,spotify:playlist:4mARo04jHrYSW7STfXaqyn,spotify:playlist:55ILLo9pmOkE6tZqhQMXSV,spotify:playlist:5lqIUfIt1skBIeDunoUeCb
Slovenia,spotify:playlist:0fMQLW4Md475u51ycbRPhJ,spotify:playlist:3xG5qItj0qVms4gpgDUeL8,spotify:playlist:65QeEkWFGj4CRlDdBfOSc0,spotify:playlist:48n1yd6ZbPh8vHRoUfSkNa
Solomon Islands,spotify:playlist:5R4rXr7s1W2Zs97zwj0HUM,spotify:playlist:6AHh3viccxwM5oc394DkWc,No playlist.,No playlist.
South Africa,spotify:playlist:0LoERs2MzAgIZuDFhPrBzm,spotify:playlist:5XzWQOBPYNcdkoP01p2p2O,spotify:playlist:0EAQVx8QAKbvCXU7WuTyaz,spotify:playlist:5FhwXSzN9p5DTvLsX9aZqC
South Korea,spotify:playlist:4J2ayeYvXQm9cUrDJjFoD0,spotify:playlist:39BcS82Srk5ax1fpREbgqG,spotify:playlist:6zuZapD0kP9Siy8LgyJNen,spotify:playlist:087InUwuiiYqP5yYrQlpjj
Spain,spotify:playlist:2Dqc47HGCjOdkFen664b0Q,spotify:playlist:4YVYB26cPU7Y9ghW5Cn7hT,spotify:playlist:1MYb5GM0EKTmxmnXW9h0lL,spotify:playlist:7hbLiiKShnulIPWZxpYLfS
Sri Lanka,spotify:playlist:00Qo8AOul7RaJ98PYqb6QD,spotify:playlist:2fQQZZdmKKXQd0Un73G9uT,spotify:playlist:3AYGqjjdn37zkKCq07Fj8s,spotify:playlist:1YgoOTLPbyDV9AihvFl2W0
Suriname,spotify:playlist:6DwJBhGhhEUCBfic9ArAYD,spotify:playlist:4gbFEdzrdletFx3eVs3Oiu,No playlist.,No playlist.
Sweden,spotify:playlist:0eqIvTZ6lTStZjw3dSXlzW,spotify:playlist:2aSkx2cnSE5g7Hw1rNZ5Ss,spotify:playlist:0ed60mVnPtRw3J5loPEBkb,spotify:playlist:2DE0BlFyz646OZV2smBX5S
Switzerland,spotify:playlist:36lvcF8aIHntYm37ufoyx0,spotify:playlist:7zuj0WhxtmoX9ShxaZDRtg,spotify:playlist:4f5I93enbDl6MU6tcfRHT3,spotify:playlist:7De6T6UUuk208zdN7XdR27
Taiwan,spotify:playlist:3TZAnETTFotFlDBsiP00TU,spotify:playlist:419mlnRSFnzjhaqLDQA14w,spotify:playlist:2navk1bnIqI3O9LdX9WvxV,spotify:playlist:4wOum0rug01Q0Ik9VDrgi6
Tajikistan,spotify:playlist:43mcWzx7OQgsMbs05gUUFj,spotify:playlist:1OtVzd0rcC2o0FLgJ5EvX5,No playlist.,No playlist.
Tanzania,spotify:playlist:7pHbucbMjCawxuZGf3qDfn,spotify:playlist:4ZB9NSUb6YZPRd5ybpdj8b,spotify:playlist:40jC7LLBrVoDgT3iGb2LuY,No playlist.
